idJob,idUser,HasCandidated,DateRecord,computeLifeTime,nbrFoisOccupe,nbrFoisPosteClic,nbrFoisPosteLike,nbrFoisPosteComment,nbrFoisPosteCandid,computedExpDiff,computeCorrespDipl,computeCorrespTags,computeCorrespLangs,PageSubscribed,TotBusPostsLikedByUser,TotBusPostsCommByUser,TotPageVisitsByUser,likes,saves,clicks,applications,comments,totLikes,totJobSaves,totJobClicks,totApplications,totComments,totFollowers,totBusPageVisits
126,0,0,2/1/2019,2,0,0,0,0,0,-0.000694444,0,0,0,0,0,0,0,0.000473261,0,0.08045433,0,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
95,0,0,2/1/2019,27,0,0,0,0,0,-0.005555556,0,0,0,0,0,0,0,0.000951475,0,0.117982873,0.004440216,0.00190295,0.004283674,0,1,0.020466445,0.004759638,0.393548387,0.068705674
108,0,0,2/1/2019,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.087265676,0.004524887,0,0,0,1,0.03314121,0,0.405405405,0.096354167
113,0,0,2/1/2019,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000903342,0,0.438121048,0.002258356,0,0.004283674,0,1,0.020466445,0.004759638,0.393548387,0.068705674
44,1518,0,2/1/2019,22,0,1,0,0,0,0.005181347,0,0,0,0,0,0,2,0.000815661,0,0.12697118,0.001903208,0.000271887,0.00789177,0,1,0.025930101,0.00789177,0.29245283,0.106747231
56,1518,0,2/1/2019,12,0,1,0,0,0,-0.000801925,0,0,0,0,0,0,1,0.000552181,0,0.175593595,0.000552181,0.000552181,0.004424779,0,1,0.015486726,0.002212389,0.448275862,0.06029106
31,0,0,2/1/2019,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0.002039429,0,0.420292318,0.01053705,0.003908906,0.005995415,0,0.999823664,0.019573268,0.006348087,0.281144781,0.094888179
45,0,0,2/1/2019,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0.001968504,0,0.399427344,0.00841088,0.003221188,0.005074786,0,1,0.022702991,0.005876068,0.269360269,0.136929461
127,0,0,2/1/2019,2,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000243902,0,0.460487805,0,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
73,0,0,2/1/2019,7,0,0,0,0,0,-0.001851852,0,0,0,0,0,0,0,0.000307503,0,0.340713407,0.000307503,0,0.001042481,0,1,0.004951785,0.000347494,0.268722467,0.037947175
